u,v,key,osmid,highway,oneway,length,name,geometry,speed_kph,bearing,travel_time,grade,grade_abs,lanes,ref,maxspeed,bridge,width,junction,access,simple_model_e
82882204,4208799179,0,10080013,residential,False,735.5489999999999,Upper Canyon Road,"LINESTRING (-111.8048577 41.8498813, -111.80512 41.849759, -111.8056198 41.849406, -111.8057256 41.8493192, -111.806169 41.848831, -111.806613 41.84841, -111.80684 41.848116, -111.807397 41.847117, -111.807572 41.846862, -111.807785 41.846669, -111.807949 41.846565, -111.808207 41.846436, -111.808408 41.846358, -111.808747 41.846273, -111.809845 41.846119, -111.810263 41.846093, -111.810637 41.846093, -111.8112023 41.8460724)",41.6,231.1,63.7,-0.007,0.007,,,,,,,,1153920.657672069
82882204,82882873,0,"[421032192, 1033960084]","['unclassified', 'residential']",False,4975.314000000001,Smithfield Canyon Road,"LINESTRING (-111.8048577 41.8498813, -111.8046134 41.8500686, -111.8043135 41.850244, -111.8037905 41.8505167, -111.8034611 41.8507187, -111.803289 41.8508334, -111.802213 41.85177, -111.8017339 41.8521088, -111.8014079 41.8522517, -111.8010402 41.8523742, -111.8009937 41.8523998, -111.8007741 41.8525213, -111.8005424 41.852713, -111.8003021 41.8528601, -111.7997785 41.8530647, -111.7995296 41.8531478, -111.7993322 41.8532437, -111.7991605 41.8533843, -111.7989889 41.8535442, -111.7987314 41.853704, -111.7982427 41.8539262, -111.79668 41.8546374, -111.7959419 41.8552064, -111.7955556 41.8554301, -111.7954616 41.855474, -111.7949291 41.8557242, -111.794766 41.8558393, -111.7942253 41.8566192, -111.7940794 41.8568493, -111.7936674 41.8570922, -111.7931174 41.8574088, -111.7930197 41.8574655, -111.7925685 41.8577267, -111.7915988 41.8583133, -111.7913584 41.8584469, -111.7911087 41.8585861, -111.790596 41.8588719, -111.7902242 41.8590761, -111.7886757 41.8604804, -111.7882756 41.8607959, -111.788199 41.861099, -111.78819 41.861295, -111.788133 41.86151, -111.7880312 41.8616685, -111.787898 41.861876, -111.787833 41.862015, -111.787738 41.862312, -111.787675 41.862432, -111.787571 41.862548, -111.787379 41.86269, -111.787238 41.862763, -111.7869857 41.8628605, -111.7866919 41.8629741, -111.786379 41.863095, -111.786193 41.863142, -111.785572 41.863208, -111.785417 41.863242, -111.78412 41.863613, -111.783248 41.863899, -111.782917 41.864045, -111.782426 41.864365, -111.782284 41.864445, -111.782075 41.864528, -111.781236 41.864758, -111.7805947 41.8649531, -111.780066 41.865114, -111.779762 41.865221, -111.779573 41.865341, -111.779289 41.86559, -111.7791 41.86568, -111.778949 41.865722, -111.778592 41.865774, -111.777904 41.865774, -111.777151 41.865702, -111.776624 41.865619, -111.776449 41.865573, -111.776349 41.86553, -111.776117 41.865372, -111.775975 41.865295, -111.7749998 41.8650816, -111.7745511 41.8650851, -111.7739095 41.864927, -111.773095 41.864871, -111.772762 41.864819, -111.7716 41.864572, -111.77146 41.864557, -111.771134 41.864558, -111.770937 41.864582, -111.770775 41.86463, -111.770584 41.864736, -111.7703381 41.8650025, -111.77031 41.865033, -111.770156 41.86513, -111.770016 41.865196, -111.769426 41.8654039, -111.76897 41.865565, -111.768226 41.865866, -111.76718 41.866225, -111.766387 41.866461, -111.76554 41.866797, -111.765378 41.866846, -111.764982 41.86692, -111.764381 41.867057, -111.763811 41.867234, -111.763309 41.867292, -111.761215 41.867773, -111.760344 41.867912, -111.760035 41.867995, -111.759496 41.868188, -111.758919 41.868426, -111.75855 41.868617, -111.75832 41.868759, -111.757939 41.869043, -111.7573903 41.8693812, -111.75687 41.869586, -111.756273 41.869789, -111.756045 41.869882, -111.755812 41.870005, -111.7557558 41.8700398)",40.2,61.1,445.6,0.037,0.037,,FR 049,25 mph,,,,,7519568.028956309
82882207,82882215,0,10080016,residential,False,236.361,Ballard Way,"LINESTRING (-111.8465125 41.7053835, -111.8464737 41.7053213, -111.8463133 41.7050601, -111.8461565 41.7049217, -111.8454594 41.7044718, -111.8453656 41.7043873, -111.8453065 41.704271, -111.8453001 41.7040525, -111.8453316 41.7039472, -111.845421 41.7038867, -111.8455579 41.7038708, -111.8457445 41.7039157)",41.6,158.7,20.5,0.003,0.003,,,,,,,,371251.61260739353
82882207,82912703,0,10083069,residential,False,69.622,Country Manor Drive,"LINESTRING (-111.8465125 41.7053835, -111.8466434 41.7053396, -111.8468822 41.7053018, -111.8471069 41.7052375, -111.8472602 41.7051299)",41.6,245.6,6.0,0.003,0.003,,,,,,,,109866.15993633849
82882207,82912695,0,10083069,residential,False,103.68100000000001,Country Manor Drive,"LINESTRING (-111.8465125 41.7053835, -111.8463221 41.7054695, -111.846199 41.7055746, -111.8460445 41.7057134, -111.8456412 41.7060427)",41.6,44.6,9.0,0.018,0.018,,,,,,,,163354.92509841116
82882215,82882207,0,10080016,residential,False,236.361,Ballard Way,"LINESTRING (-111.8457445 41.7039157, -111.8455579 41.7038708, -111.845421 41.7038867, -111.8453316 41.7039472, -111.8453001 41.7040525, -111.8453065 41.704271, -111.8453656 41.7043873, -111.8454594 41.7044718, -111.8461565 41.7049217, -111.8463133 41.7050601, -111.8464737 41.7053213, -111.8465125 41.7053835)",41.6,338.7,20.5,-0.003,0.003,,,,,,,,371341.8090526864
82882224,82923613,0,782815703,secondary,False,244.435,Blacksmith Fork Canyon Road,"LINESTRING (-111.8211191 41.634372, -111.8240602 41.634354)",64.6,269.5,13.6,-0.007,0.007,,UT 101,,,,,,622958.3081535738
82882224,82923611,0,782815703,secondary,False,179.505,Blacksmith Fork Canyon Road,"LINESTRING (-111.8211191 41.634372, -111.8189592 41.6343794)",64.6,89.7,10.0,0.006,0.006,,UT 101,,,,,,458188.58336224314
82882224,82882228,0,10080020,residential,False,44.808,Wapiti Loop,"LINESTRING (-111.8211191 41.634372, -111.8211155 41.6343059, -111.821096 41.6339694)",41.6,177.5,3.9,0.002,0.002,,,,,,,,70915.09991456175
82882228,82882232,0,10080020,residential,False,75.035,Wapiti Loop,"LINESTRING (-111.821096 41.6339694, -111.8210914 41.6335873, -111.8210546 41.6332959)",41.6,177.4,6.5,0.001,0.001,,,,,,,,118304.48338031262
