osmid,y,x,street_count,elevation,highway,geometry
82934226,41.7503278,-111.843746,3,1368.965,,POINT (-111.843746 41.7503278)
82934228,41.7502648,-111.8404313,3,1371.863,,POINT (-111.8404313 41.7502648)
82934232,41.7502458,-111.8394109,4,1372.064,traffic_signals,POINT (-111.8394109 41.7502458)
82934234,41.7502332,-111.8387457,3,1373.242,,POINT (-111.8387457 41.7502332)
82934236,41.750222,-111.8381517,3,1374.15,,POINT (-111.8381517 41.750222)
82934238,41.750198,-111.836885,3,1375.248,,POINT (-111.836885 41.750198)
82934258,41.7646417,-111.8409961,1,1368.714,,POINT (-111.8409961 41.7646417)
82934260,41.7646936,-111.8418542,1,1367.98,,POINT (-111.8418542 41.7646936)
82934265,41.7633109,-111.8428888,3,1366.997,,POINT (-111.8428888 41.7633109)
82934266,41.6432422,-111.8352631,1,1446.721,turning_circle,POINT (-111.8352631 41.6432422)
82934278,41.752399,-111.8277811,1,1385.863,turning_circle,POINT (-111.8277811 41.752399)
82934280,41.7533661,-111.8277633,1,1386.055,turning_circle,POINT (-111.8277633 41.7533661)
82934313,41.7246977,-111.8699407,1,1353.958,,POINT (-111.8699407 41.7246977)
82934319,41.6079256,-111.910358,3,1460.95,,POINT (-111.910358 41.6079256)
82934330,41.689028,-111.9105522,1,1352.047,,POINT (-111.9105522 41.689028)
82934338,41.7071621,-111.9107377,3,1348.989,,POINT (-111.9107377 41.7071621)
82934408,41.7464185,-111.8165737,4,1426.349,,POINT (-111.8165737 41.7464185)
82934420,41.7709098,-111.8156852,3,1399.186,,POINT (-111.8156852 41.7709098)
82934427,41.8040053,-111.801891,1,1477.647,,POINT (-111.801891 41.8040053)
82934609,41.8414408,-111.8172365,1,1435.167,,POINT (-111.8172365 41.8414408)
82934612,41.7254136,-111.7959763,1,1508.792,,POINT (-111.7959763 41.7254136)
82934727,41.7132686,-111.852845,4,1362.693,,POINT (-111.852845 41.7132686)
